date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:51	238046/238046	---M-Z	200	added ('OK')	text/html	etag:%223a1de-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/table-basic.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/table-basic.html	(from )
16:24:53	72/72	---M--	200	added ('OK')	text/plain	etag:%2248-58ee01209bd80%22	https://designreset.com/robots.txt		(from )
16:24:54	588/588	---MC-	200	added ('OK')	text/css	date:Thu,%2026%20Sep%202024%2010:54:53%20GMT	https://fonts.googleapis.com/css?family=Nunito:400,600,700	/home/erp-11/websites/cork/fonts.googleapis.com/css33d1.css	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:24:54	102045/102045	---M-Z	200	added ('OK')	text/html	etag:%2218e9d-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/user-profile.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/user-profile.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:24:55	306109/306109	---M-Z	200	added ('OK')	text/html	etag:%224abbd-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-mailbox.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-mailbox.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:24:56	4114/4114	---M-Z	200	added ('OK')	text/html	etag:%221012-5ec0cd67f8f80-gzip%22	https://designreset.com/cork/html/modern-light-menu/auth-boxed-lockscreen.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/auth-boxed-lockscreen.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:24:57	7094/7094	---M-Z	200	added ('OK')	text/html	etag:%221bb6-5ec0cd67f8f80-gzip%22	https://designreset.com/cork/html/modern-light-menu/auth-boxed-signin.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/auth-boxed-signin.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:24:58	109576/109576	---M-Z	200	added ('OK')	text/html	etag:%221ac08-5ed990b5d5b00-gzip%22	https://designreset.com/cork/html/modern-light-menu/index.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/index.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:24:59	123266/123266	---M-Z	200	added ('OK')	text/html	etag:%221e182-5ed990e1b4280-gzip%22	https://designreset.com/cork/html/modern-light-menu/index2.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/index2.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:00	75959/75959	---M-Z	200	added ('OK')	text/html	etag:%22128b7-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-calendar.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-calendar.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:01	100104/100104	---M-Z	200	added ('OK')	text/html	etag:%2218708-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-chat.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-chat.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:02	228149/228149	---M-Z	200	added ('OK')	text/html	etag:%2237b35-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-todoList.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-todoList.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:03	116233/116233	---M-Z	200	added ('OK')	text/html	etag:%221c609-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-notes.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-notes.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:04	101281/101281	---M-Z	200	added ('OK')	text/html	etag:%2218ba1-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-scrumboard.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-scrumboard.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:05	106757/106757	---M-Z	200	added ('OK')	text/html	etag:%221a105-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-contacts.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-contacts.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:06	135345/135345	---M-Z	200	added ('OK')	text/html	etag:%22210b1-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-invoice-list.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-invoice-list.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:07	87234/87234	---M-Z	200	added ('OK')	text/html	etag:%22154c2-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-invoice-preview.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-invoice-preview.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:08	130441/130441	---M-Z	200	added ('OK')	text/html	etag:%221fd89-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-invoice-add.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-invoice-add.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:09	133664/133664	---M-Z	200	added ('OK')	text/html	etag:%2220a20-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-invoice-edit.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-invoice-edit.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:10	103218/103218	---M-Z	200	added ('OK')	text/html	etag:%2219332-5febe6da00c00-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-ecommerce-product-shop.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-ecommerce-product-shop.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:11	136769/136769	---M-Z	200	added ('OK')	text/html	etag:%2221641-5ed990e584b80-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-ecommerce-product.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-ecommerce-product.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:12	126296/126296	---M-Z	200	added ('OK')	text/html	etag:%221ed58-5febe6da00c00-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-ecommerce-product-list.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-ecommerce-product-list.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:13	81912/81912	---M-Z	200	added ('OK')	text/html	etag:%2213ff8-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-ecommerce-product-add.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-ecommerce-product-add.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:14	82717/82717	---M-Z	200	added ('OK')	text/html	etag:%221431d-5ed990e39c700-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-ecommerce-product-edit.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-ecommerce-product-edit.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
16:25:15	81492/81492	---M-Z	200	added ('OK')	text/html	etag:%2213e54-5febe6da00c00-gzip%22	https://designreset.com/cork/html/modern-light-menu/app-blog-grid.html	/home/erp-11/websites/cork/designreset.com/cork/html/modern-light-menu/app-blog-grid.html	(from https://designreset.com/cork/html/modern-light-menu/table-basic.html)
